time (s)	magX	magY	magZ
7319.777696	-54.188194	333.510834	-245.101120
7319.781016	-52.084160	333.101685	-243.113968
7319.784365	-51.382812	332.692596	-241.828171
7319.787757	-49.571014	332.341888	-239.607254
7319.791081	-48.343658	331.523682	-236.509659
7319.794362	-46.765640	330.997681	-235.399170
7319.797683	-45.888954	329.478088	-233.061356
7319.801046	-44.486267	329.887207	-231.307999
7319.804419	-43.784920	328.367645	-229.262421
7319.807754	-41.973114	327.607849	-226.632370
7319.811015	-40.395096	326.964935	-225.112793
7319.814785	-39.050850	326.672699	-221.898315
7319.817743	-37.881943	325.620697	-221.021622
7319.821103	-37.005264	325.503784	-219.092941
7319.824832	-35.602577	324.218018	-217.105789
7319.828099	-34.141438	323.867340	-215.527771
7319.831450	-32.972530	322.639984	-212.780838
7319.834858	-32.154297	322.873779	-212.605499
7319.838161	-30.926941	322.113983	-211.027481
7319.841503	-29.173584	321.178864	-209.507889
7319.844761	-28.647575	321.178864	-207.871414
7319.848126	-27.303329	320.769745	-207.403854
7319.851524	-26.251316	320.360596	-206.468719
7319.854837	-25.082409	319.717712	-204.540039
7319.858160	-23.445938	319.016388	-203.780243
7319.861430	-22.803040	319.483948	-203.254242
7319.864778	-21.634132	318.315033	-203.020447
7319.868173	-20.757450	319.133270	-201.851547
7319.871519	-19.237873	318.724152	-201.383987
7319.874843	-18.302746	318.431915	-201.208649
7319.878537	-17.718292	317.847473	-200.507309
7319.881789	-16.900059	318.490356	-200.331970
7319.884993	-15.848042	318.022797	-199.455292
7319.888217	-14.620689	318.315033	-199.747513
7319.891933	-12.984222	317.847473	-200.273529
7319.895191	-12.516659	317.847473	-199.046173
7319.898451	-11.230858	318.022797	-199.455292
7319.901708	-9.945061	317.789032	-199.279953
7319.905338	-9.068382	317.847473	-199.455292
7319.908557	-8.659264	317.964355	-199.163071
7319.911862	-7.139687	319.133270	-199.805954
7319.915073	-6.379894	318.081238	-199.338394
7319.918379	-5.444771	318.607239	-198.929276
7319.922044	-4.451199	318.782593	-198.578598
7319.925258	-3.399185	318.198151	-199.046173
7319.928506	-2.639391	318.373474	-199.221512
7319.932229	-1.412039	318.548828	-199.104614
7319.935460	-0.476913	319.308594	-199.104614
7319.938688	0.750439	319.483948	-199.338394
7319.941937	2.094681	318.431915	-199.104614
7319.945649	3.029806	318.782593	-199.338394
7319.948872	4.490940	318.899475	-198.987732
7319.952106	5.426065	319.133270	-198.695496
7319.955333	6.068966	319.308594	-198.111038
7319.959044	7.530098	318.490356	-198.870834
7319.962300	8.991234	319.016388	-198.286392
7319.965538	9.634132	319.776184	-198.753952
7319.968787	10.744593	320.243744	-198.812393
7319.972463	11.796610	320.535950	-198.987732
7319.975705	13.199299	319.717712	-199.689072
7319.978909	14.192869	320.886627	-199.981293
7319.982162	15.303330	320.945068	-199.630630
7319.985811	16.180012	321.295715	-201.559326
7319.989033	17.816481	321.938660	-201.559326
7319.992291	19.102280	322.055511	-203.429581
7319.995969	20.446522	322.639984	-203.020447
7319.999195	21.264757	323.692017	-204.423141
7320.002425	22.725891	323.575104	-205.650497
7320.005652	23.777908	324.627136	-206.994751
7320.009393	25.297485	325.094696	-208.163635
7320.012596	26.291058	325.445374	-209.800125
7320.015800	28.219753	326.146729	-211.202805
7320.019431	29.505552	327.783173	-212.371704
7320.022664	30.557568	327.724731	-214.534180
7320.025869	32.427818	328.192291	-216.170670
7320.029167	33.596725	328.776764	-217.982452
7320.032822	34.824078	330.062561	-220.203400
7320.036082	36.811222	330.647003	-221.255417
7320.039339	37.746346	331.289917	-223.125671
7320.042583	39.090591	331.348328	-224.820557
7320.046271	40.551723	332.984833	-226.515488
7320.049498	41.720631	334.153717	-228.561066
7320.052729	43.240211	334.504395	-230.548218
7320.055951	45.227352	335.497955	-231.950897
7320.059694	46.746933	335.556396	-234.288712
7320.062897	47.798946	337.485107	-236.158966
7320.066133	49.143192	336.842194	-237.561646
