time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
7319.513480	5.159953	1.848110	2.792017	132
7320.566127	4.184593	1.896214	2.206814	133
7321.577852	5.215318	1.860157	2.803698	134
7322.628487	4.203946	1.892140	2.221794	135
7323.636087	5.233303	1.830500	2.858947	136
7324.696135	3.838356	1.804273	2.127370	137
7325.703882	5.240903	1.899446	2.759174	138
7326.760808	4.043941	1.883530	2.147002	139
7327.768440	5.032369	1.824632	2.758018	140
7328.827037	4.147735	1.871926	2.215757	141
7329.841927	5.278009	1.883907	2.801629	142
7330.905360	4.100372	1.885978	2.174136	143
7331.902812	5.478630	1.889085	2.900150	144
7332.964846	4.132865	1.883247	2.194543	145
7333.971058	5.444806	1.875653	2.902886	146
7335.030355	4.236988	1.874765	2.260010	147
7336.035833	5.519723	1.887053	2.925049	148
7337.103955	4.322730	1.862956	2.320360	149
7338.109786	5.512046	1.892431	2.912681	150
7339.173263	4.468999	1.893859	2.359732	151
7340.176729	5.531511	1.893929	2.920655	152
7341.240653	4.531805	1.883228	2.406403	153
7342.245210	5.428707	1.877901	2.890838	154
7343.305560	4.582242	1.876101	2.442429	155
7344.310710	5.223774	1.825338	2.861812	156
7345.371493	4.531216	1.827167	2.479913	157
7346.377572	5.144936	1.825702	2.818059	158
7347.439476	4.683253	1.892283	2.474922	159
7348.437334	5.338881	1.833503	2.911849	160
7349.499435	4.812514	1.890463	2.545680	161
7350.505690	5.419113	1.893214	2.862389	162
7351.565653	4.736109	1.882955	2.515254	163
7352.572916	5.382930	1.893766	2.842448	164
7353.631745	4.722025	1.884101	2.506249	165
7354.639015	5.391496	1.885767	2.859047	166
7355.701633	4.708022	1.891604	2.488904	167
7356.706183	5.377725	1.883654	2.854943	168
7357.768301	4.595574	1.886119	2.436525	169
7358.774733	5.411301	1.890228	2.862776	170
7359.834818	4.535211	1.887403	2.402884	171
7360.849211	5.372583	1.892914	2.838262	172
7361.901335	4.538871	1.890482	2.400906	173
7362.908159	5.563325	1.885015	2.951344	174
7363.969347	4.593340	1.898311	2.419699	175
