crossing time (s)	slope (V/s)	crossing number
6594.936459	2.367372	5831
6595.983532	2.630948	5832
6597.004509	2.343788	5833
6598.051518	2.669955	5834
6599.072264	2.374603	5835
6600.119601	2.669143	5836
6601.140508	2.342842	5837
6602.187927	2.720831	5838
6603.207747	2.381445	5839
6604.256262	2.722313	5840
6605.275745	2.459706	5841
6606.324187	2.793377	5842
6607.343844	2.500434	5843
6608.392885	2.783944	5844
6609.411412	2.494215	5845
6610.461288	2.766728	5846
6611.478854	2.512402	5847
6612.529602	2.765673	5848
6613.546471	2.555023	5849
6614.598104	2.716230	5850
6615.614050	2.581135	5851
6616.666303	2.781853	5852
6617.681685	2.657522	5853
6618.734829	2.745645	5854
6619.749435	2.696153	5855
6620.803004	2.798872	5856
6621.817296	2.700838	5857
6622.871070	2.824465	5858
6623.885435	2.769159	5859
6624.939322	2.793570	5860
6625.953445	2.827950	5861
6627.007450	2.814825	5862
6628.021731	2.946212	5863
6629.075460	2.853061	5864
6630.089341	2.817592	5865
6631.143698	2.871876	5866
6632.157377	2.881359	5867
6633.211703	2.845272	5868
6634.225497	2.910932	5869
6635.279739	2.920916	5870
6636.293702	2.898598	5871
6637.347486	2.914208	5872
6638.361812	2.859972	5873
6639.415708	2.903177	5874
6640.429709	2.891509	5875
6641.483707	2.845552	5876
6642.497688	2.878273	5877
6643.551686	2.869395	5878
6644.565966	2.822209	5879
6645.619715	2.804476	5880
6646.634215	2.781310	5881
6647.687423	2.805654	5882
6648.701554	3.158245	5883
6649.755929	2.859294	5884
6650.770406	2.745036	5885
6651.823046	2.791785	5886
6652.838878	2.637646	5887
6653.890709	2.772291	5888
6654.907017	2.651412	5889
6655.958436	2.774650	5890
6656.975173	2.591385	5891
6658.026330	2.764663	5892
6659.043726	2.544952	5893
6660.093801	2.766445	5894
6661.112240	2.610027	5895
6662.161445	2.755031	5896
6663.180944	2.523932	5897
6664.229019	2.827318	5898
6665.249322	2.527741	5899
6666.296770	2.775102	5900
6667.317709	2.463241	5901
6668.364759	2.773993	5902
6669.385637	2.440408	5903
6670.432505	2.833641	5904
6671.453722	2.450731	5905
6672.500701	2.837459	5906
6673.521803	2.477186	5907
6674.568338	2.870749	5908
6675.589815	2.513164	5909
6676.636566	2.853330	5910
6677.658005	2.524175	5911
6678.704654	2.909135	5912
6679.725654	2.500218	5913
6680.772931	2.860839	5914
6681.793664	2.526670	5915
6682.841149	2.785354	5916
6683.861119	2.582584	5917
6684.909657	2.812101	5918
6685.929198	2.586186	5919
6686.978036	2.857408	5920
6687.996867	2.548190	5921
6689.046270	2.766356	5922
6690.064348	2.600700	5923
6691.114622	2.779560	5924
6692.132186	2.569382	5925
6693.182775	2.793719	5926
6694.200041	2.718524	5927
6695.250884	2.801271	5928
6696.267756	2.738730	5929
6697.319238	2.851662	5930
6698.335612	2.780917	5931
6699.387345	2.894266	5932
6700.403732	2.826354	5933
6701.455497	2.947415	5934
6702.471624	2.799158	5935
6703.523676	2.897043	5936
6704.539723	2.889603	5937
6705.591758	2.914903	5938
6706.607709	2.858962	5939
6707.659694	2.962960	5940
6708.675883	2.844619	5941
6709.727800	2.874259	5942
6710.743870	2.891578	5943
